kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Kamppi,"1h, avok, kph/wc",kt,"17,80",162935,9154,1932,4/6,ei,hyvä,oma,E2018,Yksiöt,00100
Kamppi,1h+k+kph,kt,"19,00",183000,9632,1911,5/6,on,hyvä,oma,D2018,Yksiöt,00100
Etu-töölö,"1h,k,alk,kh (Yj...",kt,"48,50",320800,6614,1915,3/6,on,hyvä,oma,D2007,Yksiöt,00100
Töölö,"1h, kk, kph",kt,"22,50",187000,8311,1928,5/6,on,tyyd.,oma,D2018,Yksiöt,00100
Etu-töölö,1h+kph,kt,"18,00",166000,9222,1912,1/5,on,hyvä,oma,G2018,Yksiöt,00100
Etu-töölö,"1h, k, kph",kt,"41,90",250000,5967,1927,5/7,on,huono,oma,D2018,Yksiöt,00100
Etu-töölö,"1h, avok, kph",kt,"32,00",260000,8125,1929,3/6,ei,tyyd.,oma,F2013,Yksiöt,00100
Etu-töölö,1h+kk+kph,kt,"24,50",199000,8122,1935,4/7,on,tyyd.,oma,D2018,Yksiöt,00100
Etu-töölö,"1h, avok, alk, kph",kt,"41,00",310000,7561,1928,4/5,on,hyvä,oma,F2013,Yksiöt,00100
Etu-töölö,"1h, avok, kph",kt,"24,00",196000,8167,1929,6/7,on,hyvä,oma,E2018,Yksiöt,00100
Etu-töölö,1h+k,kt,"28,00",171000,6107,1915,1/6,on,tyyd.,oma,G2013,Yksiöt,00100
Etu-töölö,1h+avok+vh+kph,kt,"33,50",295000,8806,1939,4/6,on,hyvä,oma,F2013,Yksiöt,00100
Kamppi,1h+k+kph+parvi,kt,"26,50",233000,8792,1911,5/6,on,hyvä,oma,D2018,Yksiöt,00100
Kamppi,1h+k+kph+erilli...,kt,"19,00",182000,9579,1911,5/6,on,hyvä,oma,D2018,Yksiöt,00100
Kamppi,1h+k+kph+parvi,kt,"19,60",171858,8768,1911,4/5,on,hyvä,oma,D2018,Yksiöt,00100
Kamppi,"1h,alkovi,k,kph...",kt,"41,00",319000,7780,1912,3/5,on,hyvä,oma,E2018,Yksiöt,00100
Kamppi,1h+avok+alk,kt,"27,40",262000,9562,1911,3/6,on,hyvä,oma,D2018,Yksiöt,00100
Kamppi,"1h, avokeitti&#...",kt,"19,40",175000,9021,1932,3/4,on,tyyd.,oma,D2018,Yksiöt,00100
Etu-töölö,"1h, k, kph (yj....",kt,"45,50",225000,4945,1936,4/7,on,tyyd.,oma,F2013,Yksiöt,00100
Kamppi,1h+k+kph+parvi,kt,"32,00",268000,8375,1911,4/5,on,hyvä,oma,D2018,Yksiöt,00100
Etu-töölö,1h+wc,kt,"33,40",285000,8533,1914,4/5,on,hyvä,oma,G2013,Yksiöt,00100
Etu-töölö,"1h, kk, kph/wc,...",kt,"24,90",203000,8153,1935,3/7,on,hyvä,oma,D2018,Yksiöt,00100
"Etu-töölö, kamppi",1 h+k,kt,"31,50",200000,6349,1915,2/5,on,tyyd.,oma,G2013,Yksiöt,00100
Etu-töölö,"1h, kk, kph",kt,"33,00",181000,5485,1938,3/6,on,huono,oma,G2013,Yksiöt,00100
Etu-töölö,"1h, avok, kph, ...",kt,"24,00",238000,9917,1927,1/6,on,hyvä,oma,E2018,Yksiöt,00100
Etu-töölö,"1h, kk, kph",kt,"28,90",268000,9273,1924,6/6,on,tyyd.,oma,F2013,Yksiöt,00100
Kamppi,"2h, avok, kph, ...",kt,"50,00",280000,5600,1988,3/8,on,hyvä,vuokra,E2013,Kaksiot,00100
Etu-töölö,"2h, k, kph, eri...",kt,"66,00",563500,8538,1922,6/6,on,hyvä,oma,G2013,Kaksiot,00100
Kamppi,"2h,k",kt,"63,00",266931,4237,2001,5/7,on,tyyd.,vuokra,D2007,Kaksiot,00100
Etu-töölö,"2-3 huon, keitt...",kt,"91,30",523000,5728,1926,4/7,on,huono,oma,F2013,Kaksiot,00100
Etu-töölö,"2-3 huon, keitt...",kt,"91,30",523000,5728,1926,4/7,on,huono,oma,F2013,Kaksiot,00100
Etu-töölö,2h+halli+k+kph+...,kt,"81,50",448250,5500,1936,5/7,on,hyvä,oma,F2013,Kaksiot,00100
Etu-töölö,"2h, k ja kph",kt,"72,70",455000,6259,1912,5/5,on,tyyd.,oma,F2013,Kaksiot,00100
Etu-töölö,"2h,avok,kph",kt,"45,50",305000,6703,1928,5/6,on,tyyd.,oma,F2013,Kaksiot,00100
Etu-töölö,2h+avok+kph+vh,kt,"64,50",532000,8248,1939,6/6,on,hyvä,oma,F2013,Kaksiot,00100
Etu-töölö,"2h, k, kh",kt,"65,50",394000,6015,1930,2/6,on,tyyd.,oma,F2013,Kaksiot,00100
Etu-töölö,2h+kph+sauna,kt,"50,00",398000,7960,1914,6/6,on,hyvä,oma,D2018,Kaksiot,00100
Etu-töölö,"2h, avokeitti&#...",kt,"46,00",290000,6304,1927,3/6,on,tyyd.,oma,D2018,Kaksiot,00100
Etu-töölö,"2h, alkovi, kk,...",kt,"44,70",370000,8277,1924,6/6,on,hyvä,oma,D2007,Kaksiot,00100
Etu-töölö,"2h, avok, kph, wc",kt,"46,50",359000,7720,1927,5/6,on,hyvä,oma,E2013,Kaksiot,00100
Kamppi,"2h, kt, kph",kt,"50,00",325000,6500,1890,3/6,on,hyvä,oma,E2018,Kaksiot,00100
